"ДатаВремяСессии","КатегорияПосетителя","ВидыОбслуживания","ЭтапОбслуживания","ДатаВремяПосещения","ДатаВремяОперации","АптекаОрганизация","АптекаНомер","АптекаКатегоря","АптекаАдрес","АптекаОписание","ПровизорИмя","ПровизорТабельныйНомер","ПровизорПол","ПровизорВозраст","ПровизорОбразование","ПровизорКатегоря","ПровизорОписание","ПровизорНепрерывныйСтаж","ПровизорОбщийСтаж","Длительность"
2016-03-28 16:44:21,"","Rx3; RxL","01: Обращение к провизору",2016-02-23 11:15:01,2016-02-23 11:15:01,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,5.36
2016-03-28 16:44:21,"","Rx3; RxL; Rx -","05: Поиск в БД",2016-02-23 11:15:01,2016-02-23 11:15:07,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,1.859
2016-03-28 16:44:21,"","Rx3; RxL; Rx -","06: Поиск на МХ",2016-02-23 11:15:01,2016-02-23 11:15:08,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,3.281
2016-03-28 16:44:21,"","Rx3; RxL; Rx -","05: Поиск в БД",2016-02-23 11:15:01,2016-02-23 11:15:12,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,1.86
2016-03-28 16:44:21,"","Rx3; RxL; Rx -","05: Поиск в БД",2016-02-23 11:15:01,2016-02-23 11:15:14,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,1.859
2016-03-28 16:44:21,"","Rx3; RxL; Rx -","18b: Расчеты (безналичные)",2016-02-23 11:15:01,2016-02-23 11:15:15,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,14.766
2016-03-28 16:44:21,"","Rx3; RxL; Rx -","Окончание обслуживания",2016-02-23 11:15:01,2016-02-23 11:15:30,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,NA
2016-03-28 16:44:21,"","","01: Обращение к провизору",2016-02-23 11:15:41,2016-02-23 11:15:41,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,4.813
2016-03-28 16:44:21,"","Rx -","04: Информация о применении",2016-02-23 11:15:41,2016-02-23 11:15:46,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,10.718
2016-03-28 16:44:21,"","Rx -","05: Поиск в БД",2016-02-23 11:15:41,2016-02-23 11:15:57,"Белфармация","Аптека 1","Первой","ул. Веры Хоружей","Старый жилой район, пожилые посетители","1","1","Женский",26,"Высшее","Вторая","нет данных",2,2,8.75
